msa_title,applied_month,applied_year,applied_month_num,dx_cnt_18plus,dx_cnt_18plus_cumsum,dx_cnt_18_to_24,dx_cnt_18_to_24_cumsume,age18plus_tot,age1824_tot,civilian_labor_force,new_dx_share_of_18plus_population,unemployment_rate,mad,shift_hours,num_delivs,hours_per_dx,delivs_per_dx,mad_18_to_24,shift_hours_18_to_24,num_delivs_18_to_24,hours_per_dx_18_to_24,delivs_per_dx_18_to_24,new_dx_18to24_share_of_18to24_population,new_dx_18to24_share_of_18plus_population
"Lafayette, LA",2024-01-01,2024,1,297,7875,130,2524,317496.0,33896.0,198100,0.024803462090860987,0.03703685007571934,2373,64570.161944,115071.0,27.210350587442,48.491783,723.0,12175.383333,21265.0,16.84008759751,29.412172,0.0744630634883172,0.007949706452994684
"Lafayette, LA",2024-02-01,2024,2,290,8165,135,2659,317496.0,33896.0,197918,0.02571685942500063,0.03678796269161976,2381,62962.5825,117379.0,26.443755774885,49.298194,751.0,12593.791389,23822.0,16.769362701731,31.720373,0.07844583431673353,0.008374908660266587
"Lafayette, LA",2024-03-01,2024,3,316,8481,135,2794,317496.0,33896.0,197700,0.02671214755461486,0.036383409205867474,2526,68527.281667,135748.0,27.128773423199,53.740301,842.0,14856.799722,30105.0,17.644655251781,35.754157,0.08242860514514987,0.008800110867538489
"Lafayette, LA",2024-04-01,2024,4,296,8777,125,2919,317496.0,33896.0,197531,0.027644442764633254,0.03601966273648187,2530,65774.826112,127658.0,25.99795498498,50.457708,832.0,13730.743056,26638.0,16.503296942308,32.016827,0.08611635591220203,0.009193816615012472
"Lafayette, LA",2024-05-01,2024,5,343,9120,148,3067,317496.0,33896.0,197459,0.02872477133570187,0.03591631680500762,2750,71587.047501,137187.0,26.031653636727,49.886182,904.0,14849.935556,28474.0,16.426919862832,31.497788,0.09048265282039179,0.00965996422002167
"Lafayette, LA",2024-06-01,2024,6,351,9471,139,3206,317496.0,33896.0,197503,0.029830297074608814,0.03632349888356126,2727,69142.218889,129411.0,25.354682394206,47.455446,854.0,12777.289167,23872.0,14.961696916862,27.953162,0.09458343167335378,0.010097765011212739
"Lafayette, LA",2024-07-01,2024,7,178,9649,63,3269,317496.0,33896.0,197669,0.030390934059011766,0.03731996418254759,2567,72116.371667,134110.0,28.093639137904,52.243864,801.0,13833.446389,25258.0,17.270220210986,31.533084,0.09644205805994807,0.010296192707939628
"Lafayette, LA",2024-08-01,2024,8,186,9835,70,3339,317496.0,33896.0,197913,0.030976768211253055,0.038648294957885534,2614,71578.335,135483.0,27.382683626626,51.829763,791.0,13271.977222,25131.0,16.778732265487,31.771176,0.09850719848949728,0.010516667926525058
"Lafayette, LA",2024-09-01,2024,9,244,10079,115,3454,317496.0,33896.0,198149,0.03174528183032227,0.03987403418639509,2548,66082.751667,127100.0,25.93514586617,49.882261,795.0,13191.861667,25605.0,16.59353668805,32.207547,0.10189992919518527,0.010878877214201124
"Lafayette, LA",2024-10-01,2024,10,338,10417,160,3614,317496.0,33896.0,198285,0.03280986217149193,0.04057291272663086,2778,74764.176666,145019.0,26.912950563715,52.202664,923.0,15350.550278,30071.0,16.631148730228,32.579632,0.10662025017701204,0.011382820570967823
"Lafayette, LA",2024-11-01,2024,11,330,10747,143,3757,317496.0,33896.0,198283,0.03384924534482324,0.04049767251857194,2855,74952.696944,145474.0,26.253133780736,50.954116,936.0,15622.9525,29969.0,16.691188568376,32.018162,0.11083903705451971,0.01183321994607806
"Lafayette, LA",2024-12-01,2024,12,291,11038,146,3903,317496.0,33896.0,198245,0.034765792324942674,0.04028348760372267,2929,80998.637501,152341.0,27.654024411403,52.011267,969.0,16981.282222,30823.0,17.52454305676,31.809082,0.11514632995043662,0.012293068259127673
"Lafayette, LA",2025-01-01,2025,1,311,11349,131,4034,317496.0,33896.0,197995,0.03574533222465795,0.03931412409404278,2986,81442.091112,147711.0,27.274645382451,49.46785,1011.0,17007.129167,30049.0,16.822086218595,29.722057,0.1190110927543073,0.01270567188248041
"Lafayette, LA",2025-02-01,2025,2,242,11591,105,4139,317496.0,33896.0,197863,0.03650754655176758,0.038880437474414116,2821,79418.551944,157509.0,28.152623872386,55.834456,955.0,17505.644444,34630.0,18.330517742408,36.26178,0.1221088033986311,0.013036384710358557
"Lafayette, LA",2025-03-01,2025,3,339,11930,151,4290,317496.0,33896.0,197924,0.03757527653891703,0.038888664335805664,3103,86530.894999,186471.0,27.886205284886,60.09378,1101.0,19808.569444,42102.0,17.991434554042,38.239782,0.12656360632523012,0.013511981253307128
"Lafayette, LA",2025-04-01,2025,4,403,12333,170,4460,317496.0,33896.0,197991,0.03884458386877315,0.03844114126399685,3410,85438.737777,168846.0,25.055348321701,49.514956,1200.0,19392.581111,38644.0,16.160484259167,32.203333,0.13157894736842105,0.014047421069871746
"Lafayette, LA",2025-05-01,2025,5,399,12732,182,4642,317496.0,33896.0,198170,0.040101292614710106,0.03881515870212444,3749,94984.733612,176334.0,25.336018568152,47.034943,1315.0,22172.412778,40396.0,16.861150401521,30.719392,0.136948312485249,0.014620656638193867
"Lafayette, LA",2025-06-01,2025,6,435,13167,190,4832,317496.0,33896.0,198242,0.04147138861591957,0.03825627263647461,3777,92713.724444,170573.0,24.546922013238,45.160974,1284.0,20997.105833,37625.0,16.352886162773,29.30296,0.14255369365116827,0.015219089374354322
"Lexington Park, MD",2024-01-01,2024,1,15,1009,5,171,162238.0,17515.0,108649,0.006219258126949297,0.024583751346077737,247,8315.628332,15560.0,33.666511465587,62.995951,31.0,361.0225,682.0,11.645887096774,22.0,0.00976306023408507,0.0010540070760241128
"Lexington Park, MD",2024-02-01,2024,2,21,1030,6,177,162238.0,17515.0,108865,0.006348697592425942,0.024939144812382307,263,8050.747221,15244.0,30.611206163498,57.961977,38.0,216.359444,406.0,5.693669578947,10.684211,0.01010562375107051,0.0010909897804460113
"Lexington Park, MD",2024-03-01,2024,3,16,1046,4,181,162238.0,17515.0,109066,0.006447318137551005,0.025351621953679425,262,8386.693889,16310.0,32.010282019084,62.251908,38.0,322.027222,642.0,8.474400578947,16.894737,0.010333999429060804,0.0011156449167272773
"Lexington Park, MD",2024-04-01,2024,4,17,1063,6,187,162238.0,17515.0,109265,0.006552102466746385,0.025872877865739257,262,8512.53639,16256.0,32.490596908397,62.045802,37.0,573.937778,1150.0,15.511831837838,31.081081,0.010676562946046245,0.001152627621149176
"Lexington Park, MD",2024-05-01,2024,5,13,1076,6,193,162238.0,17515.0,109471,0.006632231659660499,0.026417955440253583,262,8689.182223,16414.0,33.164817645038,62.648855,36.0,686.506667,1267.0,19.069629638889,35.194444,0.011019126463031687,0.0011896103255710747
"Lexington Park, MD",2024-06-01,2024,6,9,1085,2,195,162238.0,17515.0,109675,0.006687705716293347,0.02702530202872122,240,8317.904443,15719.0,34.657935179167,65.495833,36.0,653.408611,1250.0,18.150239194444,34.722222,0.011133314302026834,0.0012019378937117074
"Lexington Park, MD",2024-07-01,2024,7,8,1093,5,200,162238.0,17515.0,109853,0.006737015988855878,0.02763693299227149,250,8996.97,17199.0,35.98788,68.796,38.0,654.880556,1316.0,17.233698842105,34.631579,0.011418783899514702,0.0012327568140632897
"Lexington Park, MD",2024-08-01,2024,8,15,1108,9,209,162238.0,17515.0,109980,0.006829472749910625,0.02806873977086743,247,9258.667222,17639.0,37.484482680162,71.412955,42.0,688.990833,1375.0,16.404543642857,32.738095,0.011932629174992864,0.0012882308706961378
"Lexington Park, MD",2024-09-01,2024,9,11,1119,6,215,162238.0,17515.0,110034,0.006897274374684106,0.028245814929930748,235,8203.168055,16145.0,34.907098106383,68.702128,41.0,644.759167,1265.0,15.725833341463,30.853659,0.012275192691978304,0.0013252135751180365
"Lexington Park, MD",2024-10-01,2024,10,30,1149,12,227,162238.0,17515.0,110027,0.0070821878967936,0.02816581384569242,255,9392.380834,18144.0,36.832866015686,71.152941,45.0,758.324167,1434.0,16.851648155556,31.866667,0.012960319725949186,0.001399178983961834
"Lexington Park, MD",2024-11-01,2024,11,19,1168,5,232,162238.0,17515.0,109992,0.007199299794129612,0.027983853371154267,258,9005.288611,17530.0,34.904219422481,67.945736,43.0,565.923056,1153.0,13.161001302326,26.813953,0.013245789323437054,0.0014299979043134162
"Lexington Park, MD",2024-12-01,2024,12,19,1187,6,238,162238.0,17515.0,109975,0.0073164116914656244,0.02789724937485792,276,9144.555555,17910.0,33.132447663043,64.891304,52.0,528.155833,1090.0,10.156842942308,20.961538,0.013588352840422495,0.0014669806087353149
"Lexington Park, MD",2025-01-01,2025,1,30,1217,9,247,162238.0,17515.0,109925,0.007501325213575118,0.02671821696611326,303,9141.552501,18071.0,30.170140267327,59.640264,46.0,548.496111,1065.0,11.9238285,23.152174,0.014102198115900657,0.0015224546653681628
